stream,strategy,precision,recall,f1,true_positives,false_positives,false_negatives,n_flagged,n_actual,n_change_points,n_detected,n_missed,detection_rate,n_false_alarms,false_alarms_per_1k,mean_delay,median_delay,n_adaptations,alarm_rate,n_steps,threshold_quantile,seconds,flag_everything_f1,beats_flag_everything,event_precision,event_recall,event_f1,n_true_events,n_detected_events,beats_flag_everything_event
sudden,static,,,,0,7849,0,7849,0,1.0,0.0,1.0,0.0,0.0,0.0,,,0,0.9338488994646044,8405,0.98,0.28,,,,,,,,
sudden,online-no-reset,,,,0,80,0,80,0,1.0,0.0,1.0,0.0,0.0,0.0,,,0,0.009518143961927425,8405,0.98,0.87,,,,,,,,
sudden,periodic,,,,0,119,0,119,0,1.0,0.0,1.0,0.0,0.0,0.0,,,8,0.014158239143367043,8405,0.98,1.66,,,,,,,,
sudden,drift-triggered,,,,0,776,0,776,0,1.0,1.0,0.0,1.0,17.0,2.022605591909578,9.0,9.0,18,0.09232599643069601,8405,0.98,3.18,,,,,,,,
incremental,static,,,,0,7842,0,7842,0,1.0,0.0,1.0,0.0,0.0,0.0,,,0,0.9330160618679357,8405,0.98,0.23,,,,,,,,
incremental,online-no-reset,,,,0,62,0,62,0,1.0,0.0,1.0,0.0,0.0,0.0,,,0,0.007376561570493754,8405,0.98,0.83,,,,,,,,
incremental,periodic,,,,0,61,0,61,0,1.0,0.0,1.0,0.0,0.0,0.0,,,8,0.007257584770969661,8405,0.98,1.57,,,,,,,,
incremental,drift-triggered,,,,0,77,0,77,0,1.0,1.0,0.0,1.0,21.0,2.498512790005949,181.0,181.0,22,0.009161213563355145,8405,0.98,3.55,,,,,,,,
gradual,static,,,,0,7849,0,7849,0,1.0,0.0,1.0,0.0,0.0,0.0,,,0,0.9338488994646044,8405,0.98,0.2,,,,,,,,
gradual,online-no-reset,,,,0,113,0,113,0,1.0,0.0,1.0,0.0,0.0,0.0,,,0,0.013444378346222486,8405,0.98,0.85,,,,,,,,
gradual,periodic,,,,0,358,0,358,0,1.0,0.0,1.0,0.0,0.0,0.0,,,8,0.04259369422962522,8405,0.98,1.97,,,,,,,,
gradual,drift-triggered,,,,0,298,0,298,0,1.0,1.0,0.0,1.0,16.0,1.9036287923854849,245.0,245.0,17,0.035455086258179655,8405,0.98,10.35,,,,,,,,
recurring,static,,,,0,7849,0,7849,0,3.0,0.0,3.0,0.0,0.0,0.0,,,0,0.9339600190385531,8404,0.98,0.36,,,,,,,,
recurring,online-no-reset,,,,0,85,0,85,0,3.0,0.0,3.0,0.0,0.0,0.0,,,0,0.0101142313184198,8404,0.98,2.16,,,,,,,,
recurring,periodic,,,,0,324,0,324,0,3.0,0.0,3.0,0.0,0.0,0.0,,,8,0.038553069966682535,8404,0.98,5.5,,,,,,,,
recurring,drift-triggered,,,,0,1863,0,1863,0,3.0,3.0,0.0,1.0,11.0,1.3089005235602094,19.666666666666668,24.0,14,0.22168015230842456,8404,0.98,4.91,,,,,,,,
skab-valve1,static,0.34511361644955896,1.0,0.5131367525079255,5908,11211,0,17119,5908,,,,,,,,,0,0.9976107226107226,17160,0.5,0.45,0.5122247268943991,True,0.34511361644955896,1.0,0.5131367525079255,15.0,15.0,True
skab-valve1,online-no-reset,0.3874875868917577,0.3302301963439404,0.3565749794389107,1951,3084,3957,5035,5908,,,,,,,,,0,0.2934149184149184,17160,0.5,3.7,0.5122247268943991,False,0.3874875868917577,1.0,0.5585456627540796,15.0,15.0,True
skab-valve1,periodic,0.45085803432137284,0.6848341232227488,0.5437441204139228,4046,4928,1862,8974,5908,,,,,,,,,17,0.522960372960373,17160,0.5,7.02,0.5122247268943991,True,0.45085803432137284,1.0,0.621505376344086,15.0,15.0,True
skab-valve1,drift-triggered,0.4209682957536912,0.6225457007447529,0.502287470126323,3678,5059,2230,8737,5908,,,,,,,,,35,0.5091491841491842,17160,0.5,8.16,0.5122247268943991,False,0.4209682957536912,1.0,0.5925090616190093,15.0,15.0,True
