kind,magnitude,detector,n_change_points,n_detected,detection_rate,mean_delay,median_delay,n_detections_total,false_alarms_per_1k,alarm_rate,n_adaptations,n_steps,seconds,control_firings,excess_firings
sudden,0.0,adwin,1,1,1.0,393.0,393.0,18,2.022605591909578,0.021891731112433074,18,8405,2.85,18,0
sudden,0.0,kswin,1,1,1.0,67.0,67.0,26,2.97441998810232,0.020345032718619867,26,8405,8.73,26,0
sudden,0.0,adwin_var,1,0,0.0,,,2,0.2379535990481856,0.03367043426531826,2,8405,1.53,2,0
sudden,0.0,adwin_meanvar,1,1,1.0,393.0,393.0,18,2.022605591909578,0.021891731112433074,18,8405,4.24,18,0
sudden,1.0,adwin,1,1,1.0,9.0,9.0,18,2.022605591909578,0.02724568709101725,18,8405,2.89,18,0
sudden,1.0,kswin,1,1,1.0,13.0,13.0,25,2.8554431885782274,0.02248661511005354,25,8405,5.88,26,-1
sudden,1.0,adwin_var,1,1,1.0,41.0,41.0,2,0.1189767995240928,0.03129089827483641,2,8405,0.88,2,0
sudden,1.0,adwin_meanvar,1,1,1.0,9.0,9.0,18,2.022605591909578,0.02724568709101725,18,8405,2.72,18,0
sudden,2.0,adwin,1,1,1.0,9.0,9.0,18,2.022605591909578,0.06722189173111243,18,8405,2.53,18,0
sudden,2.0,kswin,1,1,1.0,13.0,13.0,26,2.97441998810232,0.03509815585960738,26,8405,5.52,26,0
sudden,2.0,adwin_var,1,1,1.0,41.0,41.0,2,0.1189767995240928,0.07626412849494349,2,8405,0.94,2,0
sudden,2.0,adwin_meanvar,1,1,1.0,9.0,9.0,18,2.022605591909578,0.06722189173111243,18,8405,2.91,18,0
sudden,3.0,adwin,1,1,1.0,9.0,9.0,18,2.022605591909578,0.09232599643069601,18,8405,2.84,18,0
sudden,3.0,kswin,1,1,1.0,13.0,13.0,25,2.8554431885782274,0.06508030933967876,25,8405,5.98,26,-1
sudden,3.0,adwin_var,1,1,1.0,9.0,9.0,3,0.2379535990481856,0.24080904223676383,3,8405,1.34,2,1
sudden,3.0,adwin_meanvar,1,1,1.0,9.0,9.0,18,2.022605591909578,0.09232599643069601,18,8405,3.21,18,0
sudden,5.0,adwin,1,1,1.0,9.0,9.0,18,2.022605591909578,0.10124925639500297,18,8405,2.76,18,0
sudden,5.0,kswin,1,1,1.0,13.0,13.0,25,2.8554431885782274,0.0678167757287329,25,8405,6.18,26,-1
sudden,5.0,adwin_var,1,1,1.0,9.0,9.0,3,0.2379535990481856,0.27531231409875073,3,8405,1.06,2,1
sudden,5.0,adwin_meanvar,1,1,1.0,9.0,9.0,18,2.022605591909578,0.10124925639500297,18,8405,3.04,18,0
incremental,0.0,adwin,1,1,1.0,373.0,373.0,18,2.022605591909578,0.021891731112433074,18,8405,2.79,18,0
