stream,dataset,rule,strategy,f1,precision,recall,alarm_rate,flag_everything_f1,lift,warmup_contamination
skab-valve1,SKAB,robust_z@2,static,0.5467778781278224,0.3984514130855594,0.8710223425863236,0.7526223776223776,0.5122247268943991,0.034553151233423285,0.401
skab-valve1,SKAB,robust_z@2,online-no-reset,0.0,0.0,0.0,0.0,0.5122247268943991,-0.5122247268943991,0.401
skab-valve1,SKAB,robust_z@2,periodic,0.0,0.0,0.0,0.0,0.5122247268943991,-0.5122247268943991,0.401
skab-valve1,SKAB,robust_z@2,drift-triggered,0.0,0.0,0.0,0.0,0.5122247268943991,-0.5122247268943991,0.401
skab-valve1,SKAB,robust_z@3,static,0.48886049668609755,0.46273620559334844,0.5181110358835477,0.38548951048951047,0.5122247268943991,-0.023364230208301584,0.401
skab-valve1,SKAB,robust_z@3,online-no-reset,0.0,0.0,0.0,0.0,0.5122247268943991,-0.5122247268943991,0.401
skab-valve1,SKAB,robust_z@3,periodic,0.0,0.0,0.0,0.0,0.5122247268943991,-0.5122247268943991,0.401
skab-valve1,SKAB,robust_z@3,drift-triggered,0.0,0.0,0.0,0.0,0.5122247268943991,-0.5122247268943991,0.401
skab-valve1,SKAB,robust_z@5,static,0.01008233910267182,0.6976744186046512,0.0050778605280974946,0.0025058275058275057,0.5122247268943991,-0.5021423877917273,0.401
skab-valve1,SKAB,robust_z@5,online-no-reset,0.0,0.0,0.0,0.0,0.5122247268943991,-0.5122247268943991,0.401
skab-valve1,SKAB,robust_z@5,periodic,0.0,0.0,0.0,0.0,0.5122247268943991,-0.5122247268943991,0.401
skab-valve1,SKAB,robust_z@5,drift-triggered,0.0,0.0,0.0,0.0,0.5122247268943991,-0.5122247268943991,0.401
skab-valve1,SKAB,tukey@1.5,static,0.5254201827184601,0.4468034634088483,0.6376100203114421,0.4913170163170163,0.5122247268943991,0.013195455824061009,0.401
skab-valve1,SKAB,tukey@1.5,online-no-reset,0.0,0.0,0.0,0.0,0.5122247268943991,-0.5122247268943991,0.401
skab-valve1,SKAB,tukey@1.5,periodic,0.0,0.0,0.0,0.0,0.5122247268943991,-0.5122247268943991,0.401
skab-valve1,SKAB,tukey@1.5,drift-triggered,0.0,0.0,0.0,0.0,0.5122247268943991,-0.5122247268943991,0.401
skab-valve1,SKAB,tukey@3,static,0.025836369658827425,0.6,0.013202437373053487,0.007575757575757576,0.5122247268943991,-0.4863883572355717,0.401
skab-valve1,SKAB,tukey@3,online-no-reset,0.0,0.0,0.0,0.0,0.5122247268943991,-0.5122247268943991,0.401
skab-valve1,SKAB,tukey@3,periodic,0.0,0.0,0.0,0.0,0.5122247268943991,-0.5122247268943991,0.401
skab-valve1,SKAB,tukey@3,drift-triggered,0.0,0.0,0.0,0.0,0.5122247268943991,-0.5122247268943991,0.401
skab-valve1,SKAB,target_rate@0.05,static,0.5447943144680188,0.3927743286708056,0.8887948544346649,0.779079254079254,0.5122247268943991,0.03256958757361972,0.401
skab-valve1,SKAB,target_rate@0.05,online-no-reset,0.04232299124900558,0.35278514588859416,0.022511848341232227,0.02196969696969697,0.5122247268943991,-0.46990173564539356,0.401
skab-valve1,SKAB,target_rate@0.05,periodic,0.11329039812646371,0.41883116883116883,0.06550440081245769,0.05384615384615385,0.5122247268943991,-0.39893432876793544,0.401
skab-valve1,SKAB,target_rate@0.05,drift-triggered,0.10113185359400265,0.3843575418994413,0.05822613405551794,0.05215617715617716,0.5122247268943991,-0.41109287330039646,0.401
skab-valve1,SKAB,target_rate@0.10,static,0.5373205061371499,0.3731323635884947,0.9595463777928233,0.8853729603729604,0.5122247268943991,0.02509577924275075,0.401
skab-valve1,SKAB,target_rate@0.10,online-no-reset,0.10812390414962011,0.3952991452991453,0.06262694651320244,0.05454545454545454,0.5122247268943991,-0.404100822744779,0.401
skab-valve1,SKAB,target_rate@0.10,periodic,0.19710220597833183,0.4306902452937821,0.12779282329045363,0.10215617715617716,0.5122247268943991,-0.3151225209160673,0.401
skab-valve1,SKAB,target_rate@0.10,drift-triggered,0.2021331945889698,0.43651685393258427,0.13151658767772512,0.10372960372960373,0.5122247268943991,-0.3100915323054293,0.401
skab-valve1,SKAB,quantile@0.9,static,0.5373205061371499,0.3731323635884947,0.9595463777928233,0.8853729603729604,0.5122247268943991,0.02509577924275075,0.401
skab-valve1,SKAB,quantile@0.9,online-no-reset,0.10812390414962011,0.3952991452991453,0.06262694651320244,0.05454545454545454,0.5122247268943991,-0.404100822744779,0.401
skab-valve1,SKAB,quantile@0.9,periodic,0.19710220597833183,0.4306902452937821,0.12779282329045363,0.10215617715617716,0.5122247268943991,-0.3151225209160673,0.401
skab-valve1,SKAB,quantile@0.9,drift-triggered,0.2021331945889698,0.43651685393258427,0.13151658767772512,0.10372960372960373,0.5122247268943991,-0.3100915323054293,0.401
skab-valve1,SKAB,quantile@0.98,static,0.5443092165616782,0.42612276165852725,0.7532159783344617,0.6085664335664336,0.5122247268943991,0.03208448966727906,0.401
skab-valve1,SKAB,quantile@0.98,online-no-reset,0.016515276630883566,0.3401360544217687,0.008463100880162491,0.008566433566433567,0.5122247268943991,-0.49570945026351554,0.401
skab-valve1,SKAB,quantile@0.98,periodic,0.058503836317135544,0.5258620689655172,0.03097494922139472,0.02027972027972028,0.5122247268943991,-0.4537208905772636,0.401
skab-valve1,SKAB,quantile@0.98,drift-triggered,0.0651517559192754,0.5324675324675324,0.034698713608666214,0.022435897435897436,0.5122247268943991,-0.4470729709751237,0.401
skab-valve1,SKAB,hand-tuned,static,0.5131367525079255,0.34511361644955896,1.0,0.9976107226107226,0.5122247268943991,0.0009120256135263238,0.401
skab-valve1,SKAB,hand-tuned,online-no-reset,0.3565749794389107,0.3874875868917577,0.3302301963439404,0.2934149184149184,0.5122247268943991,-0.15564974745548843,0.401
skab-valve1,SKAB,hand-tuned,periodic,0.5437441204139228,0.45085803432137284,0.6848341232227488,0.522960372960373,0.5122247268943991,0.03151939351952371,0.401
skab-valve1,SKAB,hand-tuned,drift-triggered,0.502287470126323,0.4209682957536912,0.6225457007447529,0.5091491841491842,0.5122247268943991,-0.009937256768076108,0.401
machine_temperature_system_failure,NAB,robust_z@2,static,0.24537452847134902,0.154071734716896,0.6022927689594356,0.4086655911500346,0.18929182489671578,0.05608270357463324,0.0
machine_temperature_system_failure,NAB,robust_z@2,online-no-reset,0.0,0.0,0.0,0.0,0.18929182489671578,-0.18929182489671578,0.0
machine_temperature_system_failure,NAB,robust_z@2,periodic,0.0,0.0,0.0,0.046093569946992395,0.18929182489671578,-0.18929182489671578,0.0
machine_temperature_system_failure,NAB,robust_z@2,drift-triggered,0.13485551195148054,0.3532710280373832,0.08333333333333333,0.024660059921640932,0.18929182489671578,-0.05443631294523524,0.0
machine_temperature_system_failure,NAB,robust_z@3,static,0.2395812361586471,0.1552308896425776,0.5246913580246914,0.3533533072136437,0.18929182489671578,0.050289411261931316,0.0
machine_temperature_system_failure,NAB,robust_z@3,online-no-reset,0.0,0.0,0.0,0.0,0.18929182489671578,-0.18929182489671578,0.0
machine_temperature_system_failure,NAB,robust_z@3,periodic,0.0,0.0,0.0,0.0,0.18929182489671578,-0.18929182489671578,0.0
machine_temperature_system_failure,NAB,robust_z@3,drift-triggered,0.11252566735112936,0.8203592814371258,0.06040564373897707,0.00769762618114773,0.18929182489671578,-0.07676615754558642,0.0
machine_temperature_system_failure,NAB,robust_z@5,static,0.0,0.0,0.0,0.0,0.18929182489671578,-0.18929182489671578,0.0
machine_temperature_system_failure,NAB,robust_z@5,online-no-reset,0.0,0.0,0.0,0.0,0.18929182489671578,-0.18929182489671578,0.0
machine_temperature_system_failure,NAB,robust_z@5,periodic,0.0,0.0,0.0,0.0,0.18929182489671578,-0.18929182489671578,0.0
machine_temperature_system_failure,NAB,robust_z@5,drift-triggered,0.0,0.0,0.0,0.0,0.18929182489671578,-0.18929182489671578,0.0
machine_temperature_system_failure,NAB,tukey@1.5,static,0.24508532082626486,0.15839030052882755,0.5414462081128748,0.357363447799032,0.18929182489671578,0.055793495929549075,0.0
machine_temperature_system_failure,NAB,tukey@1.5,online-no-reset,0.0,0.0,0.0,0.0,0.18929182489671578,-0.18929182489671578,0.0
machine_temperature_system_failure,NAB,tukey@1.5,periodic,0.0,0.0,0.0,0.0,0.18929182489671578,-0.18929182489671578,0.0
machine_temperature_system_failure,NAB,tukey@1.5,drift-triggered,0.07139821504462389,0.9882352941176471,0.037037037037037035,0.003917953445494353,0.18929182489671578,-0.1178936098520919,0.0
machine_temperature_system_failure,NAB,tukey@3,static,0.0,0.0,0.0,0.0,0.18929182489671578,-0.18929182489671578,0.0
machine_temperature_system_failure,NAB,tukey@3,online-no-reset,0.0,0.0,0.0,0.0,0.18929182489671578,-0.18929182489671578,0.0
machine_temperature_system_failure,NAB,tukey@3,periodic,0.0,0.0,0.0,0.0,0.18929182489671578,-0.18929182489671578,0.0
machine_temperature_system_failure,NAB,tukey@3,drift-triggered,0.0,0.0,0.0,0.0,0.18929182489671578,-0.18929182489671578,0.0
machine_temperature_system_failure,NAB,target_rate@0.05,static,0.24520463183947674,0.1533443891652847,0.6115520282186949,0.4169163401705462,0.18929182489671578,0.05591280694276096,0.0
machine_temperature_system_failure,NAB,target_rate@0.05,online-no-reset,0.5162046075751661,0.46320953048353186,0.5828924162257496,0.1315510486287163,0.18929182489671578,0.32691278267845025,0.0
machine_temperature_system_failure,NAB,target_rate@0.05,periodic,0.4377370938479301,0.34967061923583664,0.5850970017636684,0.17492509794883615,0.18929182489671578,0.2484452689512143,0.0
machine_temperature_system_failure,NAB,target_rate@0.05,drift-triggered,0.35719557195571955,0.4040066777963272,0.3201058201058201,0.08283014519474534,0.18929182489671578,0.16790374705900377,0.0
machine_temperature_system_failure,NAB,target_rate@0.10,static,0.26487461071955415,0.16267364606402254,0.7125220458553791,0.45789352385342247,0.18929182489671578,0.07558278582283837,0.0
machine_temperature_system_failure,NAB,target_rate@0.10,online-no-reset,0.47373876986869384,0.38948863636363634,0.6044973544973545,0.16224936621341324,0.18929182489671578,0.2844469449719781,0.0
machine_temperature_system_failure,NAB,target_rate@0.10,periodic,0.36729293463879337,0.2623818525519849,0.6119929453262787,0.24383498501958978,0.18929182489671578,0.17800110974207758,0.0
machine_temperature_system_failure,NAB,target_rate@0.10,drift-triggered,0.3390862944162436,0.314264207753105,0.3681657848324515,0.12247061534915879,0.18929182489671578,0.14979446951952782,0.0
machine_temperature_system_failure,NAB,quantile@0.9,static,0.26487461071955415,0.16267364606402254,0.7125220458553791,0.45789352385342247,0.18929182489671578,0.07558278582283837,0.0
machine_temperature_system_failure,NAB,quantile@0.9,online-no-reset,0.47373876986869384,0.38948863636363634,0.6044973544973545,0.16224936621341324,0.18929182489671578,0.2844469449719781,0.0
machine_temperature_system_failure,NAB,quantile@0.9,periodic,0.36729293463879337,0.2623818525519849,0.6119929453262787,0.24383498501958978,0.18929182489671578,0.17800110974207758,0.0
machine_temperature_system_failure,NAB,quantile@0.9,drift-triggered,0.3390862944162436,0.314264207753105,0.3681657848324515,0.12247061534915879,0.18929182489671578,0.14979446951952782,0.0
machine_temperature_system_failure,NAB,quantile@0.98,static,0.2437932041670723,0.15644133449956266,0.5520282186948854,0.3688868402857801,0.18929182489671578,0.05450137927035653,0.0
machine_temperature_system_failure,NAB,quantile@0.98,online-no-reset,0.5282940070996033,0.5017850059500198,0.5577601410934744,0.11620188983636782,0.18929182489671578,0.33900218220288747,0.0
machine_temperature_system_failure,NAB,quantile@0.98,periodic,0.15935278254474136,0.17945886250690227,0.14329805996472664,0.08347545517400323,0.18929182489671578,-0.02993904235197442,0.0
machine_temperature_system_failure,NAB,quantile@0.98,drift-triggered,0.21332499218016893,0.36706135629709363,0.15035273368606702,0.04282092648075594,0.18929182489671578,0.024033167283453144,0.0
