series,strategy,threshold_quantile,is_skab_setting,f1,precision,recall,event_f1,event_precision,event_recall,n_true_events,n_detected_events,alarm_rate,flag_everything_f1,n_adaptations,n_steps,seconds
machine_temperature_system_failure,static,0.5,False,0.20806814375269178,0.11669976917708949,0.9585537918871252,0.20900831610825363,0.11669976917708949,1.0,4,4,0.8586771145425213,0.18929182489671578,0,21695,0.26
machine_temperature_system_failure,online-no-reset,0.5,False,0.3162362928899894,0.19778761061946903,0.7883597883597884,0.3302548947173993,0.19778761061946903,1.0,4,4,0.4166858723208112,0.18929182489671578,0,21695,1.51
machine_temperature_system_failure,periodic,0.5,False,0.2441700960219479,0.14219317356572259,0.86331569664903,0.24898270600203462,0.14219317356572259,1.0,4,4,0.6347084581700853,0.18929182489671578,21,21695,3.03
machine_temperature_system_failure,drift-triggered,0.5,False,0.24050813588352843,0.14347752043596732,0.7429453262786596,0.25094943778390055,0.14347752043596732,1.0,4,4,0.5413228854574786,0.18929182489671578,63,21695,7.78
machine_temperature_system_failure,static,0.7,False,0.258018065191779,0.1514988470407379,0.8690476190476191,0.26313330218276487,0.1514988470407379,1.0,4,4,0.5996773450103711,0.18929182489671578,0,21695,0.24
machine_temperature_system_failure,online-no-reset,0.7,False,0.4091403699673558,0.2958300550747443,0.6631393298059964,0.45658773527625984,0.2958300550747443,1.0,4,4,0.23433970961050934,0.18929182489671578,0,21695,1.57
machine_temperature_system_failure,periodic,0.7,False,0.317340701666248,0.1958656330749354,0.8355379188712522,0.327571305099395,0.1958656330749354,1.0,4,4,0.44595528923715144,0.18929182489671578,21,21695,3.1
machine_temperature_system_failure,drift-triggered,0.7,False,0.28001345140679296,0.18773485645573426,0.550705467372134,0.3161225006327512,0.18773485645573426,1.0,4,4,0.3066605208573404,0.18929182489671578,63,21695,8.02
machine_temperature_system_failure,static,0.8,False,0.269120774363863,0.16140381739818804,0.8090828924162258,0.2779460769463799,0.16140381739818804,1.0,4,4,0.5240377967273565,0.18929182489671578,0,21695,0.24
machine_temperature_system_failure,online-no-reset,0.8,False,0.41920644048303624,0.31100682593856654,0.6428571428571429,0.47445493003579564,0.31100682593856654,1.0,4,4,0.21608665591150034,0.18929182489671578,0,21695,1.51
machine_temperature_system_failure,periodic,0.8,False,0.32319545823195456,0.20984728804634017,0.7028218694885362,0.34689880304679,0.20984728804634017,1.0,4,4,0.3501267573173542,0.18929182489671578,21,21695,3.09
machine_temperature_system_failure,drift-triggered,0.8,False,0.33723849372384934,0.24663402692778458,0.533068783068783,0.3956799214531173,0.24663402692778458,1.0,4,4,0.2259506798801567,0.18929182489671578,63,21695,7.84
machine_temperature_system_failure,static,0.9,False,0.26487461071955415,0.16267364606402254,0.7125220458553791,0.2798268398268398,0.16267364606402254,1.0,4,4,0.45789352385342247,0.18929182489671578,0,21695,0.24
machine_temperature_system_failure,online-no-reset,0.9,False,0.47373876986869384,0.38948863636363634,0.6044973544973545,0.56062154978532,0.38948863636363634,1.0,4,4,0.16224936621341324,0.18929182489671578,0,21695,1.56
machine_temperature_system_failure,periodic,0.9,False,0.36729293463879337,0.2623818525519849,0.6119929453262787,0.4156933213536987,0.2623818525519849,1.0,4,4,0.24383498501958978,0.18929182489671578,21,21695,3.21
machine_temperature_system_failure,drift-triggered,0.9,False,0.3390862944162436,0.314264207753105,0.3681657848324515,0.47823596792668954,0.314264207753105,1.0,4,4,0.12247061534915879,0.18929182489671578,63,21695,9.18
machine_temperature_system_failure,static,0.95,False,0.24520463183947674,0.1533443891652847,0.6115520282186949,0.2659125766871166,0.1533443891652847,1.0,4,4,0.4169163401705462,0.18929182489671578,0,21695,0.25
machine_temperature_system_failure,online-no-reset,0.95,False,0.5162046075751661,0.46320953048353186,0.5828924162257496,0.6331417624521073,0.46320953048353186,1.0,4,4,0.1315510486287163,0.18929182489671578,0,21695,1.8
machine_temperature_system_failure,periodic,0.95,False,0.4377370938479301,0.34967061923583664,0.5850970017636684,0.4769663930989039,0.34967061923583664,0.75,4,3,0.17492509794883615,0.18929182489671578,21,21695,3.43
machine_temperature_system_failure,drift-triggered,0.95,False,0.35719557195571955,0.4040066777963272,0.3201058201058201,0.5755053507728894,0.4040066777963272,1.0,4,4,0.08283014519474534,0.18929182489671578,63,21695,9.11
